"ID","Description","IATA_CODE","FIVE_CODE"
295,"Ascension, Bolivia: Ascension Airport","ASC",10370
296,"Asela, Ethiopia: Asela Airport","ALK",10265
297,"Ashburton, New Zealand: Ashburton Airport","ASG",10373
298,"Asheville, NC: Asheville Regional","AVL",10431
299,"Ashgabat, Turkmenistan: Ashgabat Airport","ASB",10369
300,"Ashland, OR: Ashland Municipal-Sumner Parker Field","XXU",15978
301,"Ashland, WI: John F Kennedy Memorial","ASX",10388
302,"Ashland, WV: Tri-State/Milton J. Ferguson Field","HTS",12223
303,"Ashley, ND: Ashley Municipal","ASY",10389
304,"Asmara, Eritrea: Asmara International","ASM",10379
305,"Asosa, Ethiopia: Asosa Hidase","ASO",10381
306,"Aspen, CO: Aspen Pitkin County Sardy Field","ASE",10372
307,"Assab, Eritrea: Assab International","ASA",10368
308,"Assiut, Egypt: Assiut Airport","ATZ",10410
309,"Astana, Kazakhstan: Astana International","TSE",15337
310,"Astoria/Seaside, OR: Astoria Regional","AST",10385
311,"Astrakhan , Russia: Narimanova","ASF",16674
312,"Asturias, Spain: Asturias Airport","OVD",13980
313,"Asuncion, Paraguay: Silvio Pettirossi International","ASU",10386
314,"Aswan, Egypt: Aswan International","ASW",10387
315,"Atar, Mauritania: Atar Airport","ATR",10403
316,"Atbara, Sudan: Atbara Airport","ATB",10391
317,"Athens, GA: Athens/Ben Epps","AHN",10216
318,"Athens, Greece: Eleftherios Venizelos International","ATH",10394
319,"Athens, OH: Ohio University","ATO",10400
320,"Athens, TN: McMinn County","MMI",13389
321,"Ati, Chad: Ati Airport","ATV",10407
322,"Atikokan, Canada: Atikokan Municipal","YIB",16086
323,"Atka, AK: Atka Airport","AKB",10237
324,"Atlanta, GA: Beaver Ruin","JAO",12449
325,"Atlanta, GA: Dekalb Peachtree","PDK",14050
326,"Atlanta, GA: Fulton County Airport-Brown Field","FTY",11790
327,"Atlanta, GA: Galleria","JGL",12485
328,"Atlanta, GA: Hartsfield-Jackson Atlanta International","ATL",10397
329,"Atlanta, GA: Newnan Coweta County","GA3",11838
330,"Atlanta, GA: Perimeter Mall Helipad","JAJ",12445
331,"Atlantic City, NJ: Atlantic City International","ACY",10158
332,"Atlantic City, NJ: Bader Field","AIY",10227
333,"Atmautluak, AK: Atmautluak Airport","ATT",10405
334,"Atomic City, ID: Big Southern Butte","RQB",14594
335,"Atqasuk, AK: Atqasuk Edward Burnell Sr. Memorial","ATK",10396
336,"Atsugi, Japan: Atsugi NAF","NJA",13687
337,"Attawapiskat, Canada: Attawapiskat Airport","YAT",15995
338,"Attu, AK: Casco Cove CGS","ATU",10406
339,"Atuona, French Polynesia: Hiva Oa/Atuona","AUQ",10421
340,"Atwater, CA: Castle","MER",13249
341,"Atyrau, Kazakhstan: Atyrau Airport","GUW",12023
342,"Aua Island, Papua New Guinea: Aua Island Airport","AUI",16386
343,"Aubenas, France: Aubenas Airport","OBS",13804
344,"Auburn, AL: Auburn University Regional","AUO",10419
345,"Auburn, CA: Auburn Municipal","AUN",10418
346,"Auburn, IN: De Kalb County","IN1",12336
347,"Auckland, New Zealand: Auckland International","AKL",10244
348,"Augsburg, Germany: Augsburg Airport","AGB",10197
349,"Augusta, GA: Augusta Regional at Bush Field","AGS",10208
350,"Augusta, GA: Daniel Field","DNL",11358
351,"Augusta/Waterville, ME: Augusta State","AUG",10414
352,"Augusta/Waterville, ME: Waterville Robert Lafleur","WVL",15879
353,"Augustus Downs, Australia: Augustus Downs Airport","AUD",10413
354,"Auki, Solomon Islands: Auki Airport","AKS",10249
355,"Aurangabad, India: Aurangabad Airport","IXU",12432
356,"Aurillac, France: Aurillac Airport","AUR",10422
357,"Aurora, CO: Buckley AFB","BFK",10560
358,"Aurora, IL: Aurora Municipal","AUZ",10427
359,"Aurora, OR: Aurora State","FVO",11811
360,"Austin, NV: Austin Airport","ASQ",10383
361,"Austin, TX: Austin - Bergstrom International","AUS",10423
362,"Austin, TX: Austin Executive Airpark","T4X",16706
363,"Austin/Albert Lea, MN: Austin Municipal","AUM",10417
364,"Avalon, Australia: Avalon Airport","AVV",10435
